序号,日文,假名,中文,类型,课文
0,中国人,ちゅうごくじん,中国人,名词,新标初_01
1,日本人,にほんじん,日本人,名词,新标初_01
2,韓国人,かんこくじん,韩国人,名词,新标初_01
3,アメリカ人,アメリカじん,美国人,名词,新标初_01
4,フランス人,フランスじん,法国人,名词,新标初_01
5,学生,がくせい,（大）学生,名词,新标初_01
6,先生,せんせい,老师,名词,新标初_01
7,留学生,りゅうがくせい,留学生,名词,新标初_01
8,教授,きょうじゅ,教授,名词,新标初_01
9,社員,しゃいん,职员,名词,新标初_01
10,会社員,かいしゃいん,公司职员,名词,新标初_01
11,店員,てんいん,店员,名词,新标初_01
12,研修生,けんしゅうせい,进修生,名词,新标初_01
13,企業,きぎょう,企业,名词,新标初_01
14,大学,だいがく,大学,名词,新标初_01
15,父,ちち,（我）父亲,名词,新标初_01
16,課長,かちょう,科长,名词,新标初_01
17,社長,しゃちょう,总经理，社长,名词,新标初_01
18,出迎え,でむかえ,迎接,名词,新标初_01
19,あの人,あのひと,那个人,名词,新标初_01
20,わたし,わたし,我,代词,新标初_01
21,あなた,あなた,你,代词,新标初_01
22,どうも,どうも,非常，很,副词,新标初_01
23,はい,はい,哎，是,感叹词,新标初_01
24,いいえ,いいえ,不，不是,感叹词,新标初_01
25,あっ,あっ,哎，哎呀,感叹词,新标初_01
26,李,り,李,专有词,新标初_01
27,王,おう,王,专有词,新标初_01
28,張,ちょう,张,专有词,新标初_01
29,森,もり,森,专有词,新标初_01
30,林,はやし,林,专有词,新标初_01
31,小野,おの,小野,专有词,新标初_01
32,吉田,よしだ,吉田,专有词,新标初_01
33,田中,たなか,田中,专有词,新标初_01
34,中村,なかむら,中村,专有词,新标初_01
35,太郎,たろう,太郎,专有词,新标初_01
36,金,キム,金,专有词,新标初_01
37,デュポン,デュポン,迪蓬,专有词,新标初_01
38,スミス,スミス,史密斯,专有词,新标初_01
39,ジョンソン,ジョンソン,约翰逊,专有词,新标初_01
40,中国,ちゅうごく,中国,专有词,新标初_01
41,東京大学,とうきょうだいがく,东京大学,专有词,新标初_01
42,北京大学,ペキンだいがく,北京大学,专有词,新标初_01
43,ＪＣ企画,ジェーシーきかく,JC策划公司,专有词,新标初_01
44,北京旅行社,ペキンりょこうしゃ,北京旅行社,专有词,新标初_01
45,日中商事,にっちゅうしょうじ,日中商社,专有词,新标初_01
46,こんにちは,こんにちは,你好,惯用语,新标初_01
47,すみません,すみません,对不起，请问,惯用语,新标初_01
48,どうぞ,どうぞ,请,惯用语,新标初_01
49,よろしくお願いします,よろしくおねがいします,请多关照,惯用语,新标初_01
50,はじめまして,はじめまして,初次见面,惯用语,新标初_01
51,こちらこそ,こちらこそ,我才要（请您～）,惯用语,新标初_01
52,そうです,そうです,是（这样）,惯用语,新标初_01
53,ちがいます,ちがいます,不是,惯用语,新标初_01
54,分かりません,わかりません,不知道,惯用语,新标初_01
55,どうもすみません,どうもすみません,实在对不起,惯用语,新标初_01
56,本,ほん,书,名词,新标初_02
57,かばん,かばん,包，公文包,名词,新标初_02
58,ノート,ノート,笔记本，本子,名词,新标初_02
59,鉛筆,えんぴつ,铅笔,名词,新标初_02
60,傘,かさ,伞,名词,新标初_02
61,靴,くつ,鞋,名词,新标初_02
62,新聞,しんぶん,报纸,名词,新标初_02
63,雑誌,ざっし,杂志,名词,新标初_02
64,辞書,じしょ,词典,名词,新标初_02
65,カメラ,カメラ,照相机,名词,新标初_02
66,テレビ,テレビ,电视机,名词,新标初_02
67,パソコン,パソコン,个人电脑,名词,新标初_02
68,ラジオ,ラジオ,收音机,名词,新标初_02
69,電話,でんわ,电话,名词,新标初_02
